,Framecount,Expression,Probability,EAR
35,350,neutral,"tensor([3.2985e-02, 1.3200e-03, 8.2795e-03, 2.8630e-01, 6.5964e-01, 1.1448e-02,
        3.2545e-05])",0.24004474832710554
36,360,neutral,"tensor([6.0317e-02, 1.9541e-03, 1.1678e-02, 2.3342e-01, 6.8281e-01, 9.7462e-03,
        7.2135e-05])",0.23355008794572824
37,370,neutral,"tensor([6.6992e-02, 8.8644e-03, 1.1427e-02, 3.0129e-01, 5.9495e-01, 1.6334e-02,
        1.3696e-04])",0.25513908091528337
38,380,neutral,"tensor([4.3116e-02, 4.4333e-03, 1.0692e-02, 2.2752e-01, 6.9951e-01, 1.4673e-02,
        5.1813e-05])",0.23320102874974158
39,390,neutral,"tensor([2.9234e-02, 2.8614e-03, 1.2824e-02, 4.0232e-01, 5.3585e-01, 1.6877e-02,
        3.3613e-05])",0.26262401537081104
40,400,neutral,"tensor([5.6865e-02, 4.7550e-03, 1.5435e-02, 2.6905e-01, 6.3784e-01, 1.6014e-02,
        3.7886e-05])",0.27807533524831596
41,410,neutral,"tensor([5.9633e-02, 4.0781e-03, 1.5231e-02, 3.1345e-01, 5.9337e-01, 1.4136e-02,
        9.9690e-05])",0.2523751534709258
42,420,neutral,"tensor([5.8035e-02, 4.2312e-03, 1.3499e-02, 2.2558e-01, 6.8495e-01, 1.3668e-02,
        4.1272e-05])",0.24191981397149104
43,430,neutral,"tensor([5.8259e-02, 4.4281e-03, 1.4635e-02, 2.2926e-01, 6.7906e-01, 1.4318e-02,
        4.2326e-05])",0.23631256084527205
44,440,neutral,"tensor([5.6102e-02, 4.3556e-03, 1.4663e-02, 2.3869e-01, 6.7166e-01, 1.4488e-02,
        4.1020e-05])",0.24609360674280228
45,450,neutral,"tensor([5.4874e-02, 8.1249e-03, 9.7019e-03, 2.5117e-01, 6.4469e-01, 3.1356e-02,
        8.5329e-05])",0.28643480513299313
46,460,neutral,"tensor([2.8581e-02, 3.1821e-03, 9.2647e-03, 3.8821e-01, 5.4683e-01, 2.3904e-02,
        3.5844e-05])",0.3034213648513002
47,470,neutral,"tensor([1.9989e-02, 8.4330e-04, 2.2186e-02, 3.4103e-01, 6.0379e-01, 1.2129e-02,
        3.5304e-05])",0.33473776085298823
48,480,neutral,"tensor([1.0909e-02, 6.9363e-04, 1.8796e-02, 4.3098e-01, 5.2253e-01, 1.6077e-02,
        1.8059e-05])",0.311506880777893
49,490,neutral,"tensor([1.7626e-02, 1.0961e-03, 1.5209e-02, 4.6743e-01, 4.7345e-01, 2.5161e-02,
        2.8257e-05])",0.3006079829842383
50,500,nervous,"tensor([3.8745e-02, 1.6781e-03, 1.6689e-02, 4.8078e-01, 4.1420e-01, 4.7736e-02,
        1.7162e-04])",0.21402690402855734
51,510,neutral,"tensor([3.7609e-02, 1.9010e-03, 2.0603e-02, 3.8225e-01, 4.8941e-01, 6.8139e-02,
        8.7054e-05])",0.23042936371172096
52,520,neutral,"tensor([1.1362e-02, 8.3075e-04, 1.2422e-02, 3.9129e-01, 5.3421e-01, 4.9868e-02,
        1.6839e-05])",0.25278085717649745
53,530,neutral,"tensor([1.9607e-02, 6.5812e-04, 3.2846e-02, 3.3400e-01, 5.7704e-01, 3.5804e-02,
        3.9652e-05])",0.29634025382197315
54,540,neutral,"tensor([1.6318e-02, 8.2014e-04, 2.2488e-02, 3.8648e-01, 5.3918e-01, 3.4688e-02,
        2.4906e-05])",0.3361339596911209
55,550,neutral,"tensor([2.1073e-02, 1.4095e-03, 3.1024e-02, 3.5805e-01, 5.4385e-01, 4.4514e-02,
        7.1131e-05])",0.2692307692307692
56,560,neutral,"tensor([1.0994e-02, 5.7211e-04, 2.1830e-02, 3.8580e-01, 5.4637e-01, 3.4384e-02,
        5.1575e-05])",0.25312072423400733
57,570,nervous,"tensor([6.8813e-03, 2.6669e-04, 1.2482e-02, 5.8840e-01, 3.5287e-01, 3.9069e-02,
        3.5284e-05])",0.24006695286345728
58,580,nervous,"tensor([1.2958e-02, 5.1541e-04, 3.2083e-02, 4.8746e-01, 4.3886e-01, 2.8039e-02,
        8.1318e-05])",0.2300894966542111
59,590,neutral,"tensor([1.3285e-02, 4.7448e-04, 3.3821e-02, 4.2410e-01, 4.9297e-01, 3.5288e-02,
        6.8749e-05])",0.23972708580594743
60,600,nervous,"tensor([2.3198e-02, 2.0381e-04, 4.7783e-02, 5.2334e-01, 3.9522e-01, 1.0194e-02,
        6.1611e-05])",0.23042936371172096
61,610,neutral,"tensor([3.5206e-02, 2.9699e-04, 2.5881e-02, 4.5088e-01, 4.8032e-01, 7.3000e-03,
        1.1461e-04])",0.2434255329139468
62,620,nervous,"tensor([6.1999e-02, 1.2578e-03, 3.0401e-02, 5.1009e-01, 3.6844e-01, 2.7385e-02,
        4.2453e-04])",0.2221876054699627
63,630,nervous,"tensor([7.6914e-02, 4.3131e-03, 5.3999e-02, 6.0557e-01, 1.7516e-01, 8.3552e-02,
        4.9829e-04])",0.23155291246070636
